prcp(mm/day),srad(W/m2),swe(kg/m2),tmax(C),tmin(C),vp(Pa),fapar(-),lat,lon,elev_measured(m),elev_Daymet(m),CO2(ppm),t(C),year_mean,yday_mean
0.0,801.86,144.13,-24.6,-37.11,30.59714285714286,0.2328227272727272,68.66109,-149.37047000000004,832.0,836.0,382.84999999999997,-30.642857142857142,2007.0,67.0
0.0,1043.94,144.13,-14.17,-38.66,47.04714285714285,0.2392181818181818,68.66109,-149.37047000000004,832.0,836.0,382.84999999999997,-26.70071428571428,2007.0,74.0
0.0,1250.4,144.13,-16.9,-32.21,51.12714285714287,0.2456136363636363,68.66109,-149.37047000000004,832.0,836.0,382.84999999999997,-24.984285714285715,2007.0,81.0
0.0,1367.01,144.13,-4.81,-27.95,109.34,0.2520090909090909,68.66109,-149.37047000000004,832.0,836.0,382.94714285714286,-15.008571428571429,2007.0,88.0
5.26,1406.69,154.65,-4.56,-18.07,132.51142857142855,0.2584045454545454,68.66109,-149.37047000000004,832.0,836.0,383.53000000000003,-11.30857142857143,2007.0,95.0
0.0,1706.28,180.95,-3.0,-18.44,108.91428571428571,0.2648,68.66109,-149.37047000000004,832.0,836.0,383.53000000000003,-9.643571428571429,2007.0,102.0
0.0,1756.3999999999999,180.95,2.44,-11.04,127.31285714285715,0.2711954545454546,68.66109,-149.37047000000004,832.0,836.0,383.53000000000003,-3.3757142857142854,2007.0,109.0
0.0,1875.3300000000002,173.28,3.06,-13.28,111.82285714285715,0.2775909090909091,68.66109,-149.37047000000004,832.0,836.0,383.53000000000003,-4.997142857142856,2007.0,116.0
0.0,2034.5600000000002,171.64000000000001,2.6,-12.58,108.26428571428572,0.2839863636363636,68.66109,-149.37047000000004,832.0,836.0,383.18714285714293,-4.873571428571428,2007.0,123.0
0.0,1940.81,171.64000000000001,-1.38,-17.11,90.14142857142859,0.2903818181818182,68.66109,-149.37047000000004,832.0,836.0,383.13000000000005,-8.397857142857143,2007.0,130.0
