prcp(mm/day),srad(W/m2),swe(kg/m2),tmax(C),tmin(C),vp(Pa),fapar(-),lat,lon,elev_measured(m),elev_Daymet(m),CO2(ppm),t(C),year_mean,yday_mean
5.11,2826.48,0.0,22.22,7.42,1227.6742857142858,,19.55309,-155.31731,1685.0,1742.0,382.32000000000005,15.404285714285717,2006.0,320.0
25.18,2532.78,0.0,20.58,7.33,1117.8157142857144,,19.55309,-155.31731,1685.0,1742.0,382.32000000000005,14.062857142857144,2006.0,327.0
107.13,2008.9299999999998,0.0,19.84,7.95,1192.9928571428572,,19.55309,-155.31731,1685.0,1742.0,382.41857142857145,13.852142857142857,2006.0,334.0
6.38,2663.69,0.0,21.56,8.11,1171.7614285714285,,19.55309,-155.31731,1685.0,1742.0,382.55000000000007,14.912142857142857,2006.0,341.0
52.720000000000006,2229.04,0.0,21.54,8.13,1169.6814285714286,,19.55309,-155.31731,1685.0,1742.0,382.55000000000007,14.505714285714287,2006.0,348.0
25.52,2284.61,0.0,20.7,6.86,1088.5885714285716,,19.55309,-155.31731,1685.0,1742.0,382.55000000000007,13.95142857142857,2006.0,355.0
14.02,2559.04,0.0,20.66,7.57,1108.49,,19.55309,-155.31731,1685.0,1742.0,382.55000000000007,14.15285714285714,2006.0,362.0
189.82000000000002,1644.2499999999998,0.0,20.17,8.68,1227.287142857143,,19.55309,-155.31731,1685.0,1742.0,382.54,13.633571428571429,2007.0,4.0
125.10000000000001,1547.05,0.0,18.89,7.53,1189.0628571428572,,19.55309,-155.31731,1685.0,1742.0,382.54,13.102857142857143,2007.0,11.0
23.3,2465.1600000000003,0.0,19.75,5.64,1069.5385714285715,,19.55309,-155.31731,1685.0,1742.0,382.54,13.35,2007.0,18.0
5.18,3201.34,0.0,21.49,5.16,951.1085714285715,,19.55309,-155.31731,1685.0,1742.0,382.54,13.092142857142857,2007.0,25.0
60.95,2574.4600000000005,0.0,19.65,5.93,1091.9014285714286,,19.55309,-155.31731,1685.0,1742.0,382.79142857142864,13.272857142857145,2007.0,32.0
4.76,2837.43,0.0,21.2,6.21,1033.412857142857,,19.55309,-155.31731,1685.0,1742.0,382.98,12.831428571428573,2007.0,39.0
60.300000000000004,2682.41,0.0,18.88,4.71,986.4357142857143,,19.55309,-155.31731,1685.0,1742.0,382.98,12.156428571428574,2007.0,46.0
